2024-11-27 14:44:18 - INFO - Logging initialized with +5:30 offset.
2024-11-27 14:44:18 - INFO - Table checked or created successfully.
2024-11-27 14:44:18 - DEBUG - Using proactor: IocpProactor
2024-11-27 14:44:21 - DEBUG - Received 5E:FE:22:54:F0:A4: NITHIN.
2024-11-27 14:44:21 - DEBUG - Received 5E:FE:22:54:F0:A4: .
2024-11-27 14:44:21 - DEBUG - Received 48:13:CE:72:94:E8: .
2024-11-27 14:44:22 - DEBUG - Received 48:13:CE:72:94:E8: .
2024-11-27 14:44:22 - DEBUG - Received D1:AC:A6:02:60:FB: SOTL52.
2024-11-27 14:44:22 - DEBUG - Received D1:AC:A6:02:60:FB: .
2024-11-27 14:44:22 - DEBUG - Received 23:4A:8E:28:A6:15: .
2024-11-27 14:44:22 - DEBUG - Received 78:F5:22:4F:34:CA: .
2024-11-27 14:44:22 - DEBUG - Received 78:F5:22:4F:34:CA: .
2024-11-27 14:44:22 - DEBUG - Received 3A:E8:AB:C2:F5:48: .
2024-11-27 14:44:22 - DEBUG - Received 11:37:B0:A9:A2:6D: .
2024-11-27 14:44:22 - DEBUG - Received 11:37:B0:A9:A2:6D: .
2024-11-27 14:44:22 - DEBUG - Received 02:51:4E:65:A7:5E: .
2024-11-27 14:44:22 - DEBUG - Received 4A:9E:BD:90:4A:5F: .
2024-11-27 14:44:22 - DEBUG - Received 69:05:B1:6C:48:97: .
2024-11-27 14:44:22 - DEBUG - Received 4A:9E:BD:90:4A:5F: .
2024-11-27 14:44:22 - DEBUG - Received 69:05:B1:6C:48:97: .
2024-11-27 14:44:22 - DEBUG - Received D1:AC:A6:02:60:FB: SOTL52.
2024-11-27 14:44:22 - DEBUG - Received D1:AC:A6:02:60:FB: .
2024-11-27 14:44:22 - DEBUG - Received 04:C6:BC:8D:80:B1: .
2024-11-27 14:44:22 - DEBUG - Received 04:C6:BC:8D:80:B1: .
2024-11-27 14:44:22 - DEBUG - Received 5E:FE:22:54:F0:A4: .
2024-11-27 14:44:22 - DEBUG - Received 5E:FE:22:54:F0:A4: NITHIN.
2024-11-27 14:44:23 - DEBUG - Received 5E:FE:22:54:F0:A4: .
2024-11-27 14:44:23 - DEBUG - Received 5E:FE:22:54:F0:A4: NITHIN.
2024-11-27 14:44:23 - DEBUG - Received 23:4A:8E:28:A6:15: .
2024-11-27 14:44:23 - DEBUG - Received 58:30:00:0F:46:49: .
2024-11-27 14:44:23 - DEBUG - Received 58:30:00:0F:46:49: .
2024-11-27 14:44:23 - DEBUG - Received 79:5A:1A:44:71:52: .
2024-11-27 14:44:23 - DEBUG - Received 79:5A:1A:44:71:52: .
2024-11-27 14:44:23 - DEBUG - Received D1:AC:A6:02:60:FB: SOTL52.
2024-11-27 14:44:23 - DEBUG - Received D1:AC:A6:02:60:FB: .
2024-11-27 14:44:23 - DEBUG - Received B4:04:8C:65:26:86: .
2024-11-27 14:44:23 - DEBUG - Received 69:05:B1:6C:48:97: .
2024-11-27 14:44:23 - DEBUG - Received 4A:9E:BD:90:4A:5F: .
2024-11-27 14:44:23 - DEBUG - Received 4A:9E:BD:90:4A:5F: .
2024-11-27 14:44:23 - DEBUG - Received D1:AC:A6:02:60:FB: SOTL52.
2024-11-27 14:44:23 - DEBUG - Received D1:AC:A6:02:60:FB: .
2024-11-27 14:44:23 - DEBUG - Received 5A:72:63:8E:61:91: .
2024-11-27 14:44:23 - DEBUG - Received 5A:72:63:8E:61:91: .
2024-11-27 14:44:23 - DEBUG - Received D4:25:11:25:10:7A: .
2024-11-27 14:44:23 - DEBUG - Received D4:25:11:25:10:7A: Vision 2_107A.
2024-11-27 14:44:23 - DEBUG - Received 04:C6:BC:8D:80:B1: .
2024-11-27 14:44:23 - DEBUG - Received 04:C6:BC:8D:80:B1: .
2024-11-27 14:44:24 - DEBUG - Received 5E:FE:22:54:F0:A4: .
2024-11-27 14:44:24 - DEBUG - Received 5E:FE:22:54:F0:A4: NITHIN.
2024-11-27 14:44:24 - DEBUG - Received 23:4A:8E:28:A6:15: .
2024-11-27 14:44:24 - DEBUG - Received 78:F5:22:4F:34:CA: .
2024-11-27 14:44:24 - DEBUG - Received 78:F5:22:4F:34:CA: .
2024-11-27 14:44:24 - DEBUG - Received B4:04:8C:65:26:86: .
2024-11-27 14:44:24 - DEBUG - Received 79:5A:1A:44:71:52: .
2024-11-27 14:44:24 - DEBUG - Received 3A:E8:AB:C2:F5:48: .
2024-11-27 14:44:24 - DEBUG - Received D1:AC:A6:02:60:FB: SOTL52.
2024-11-27 14:44:24 - DEBUG - Received D1:AC:A6:02:60:FB: .
2024-11-27 14:44:24 - DEBUG - Received 69:05:B1:6C:48:97: .
2024-11-27 14:44:24 - DEBUG - Received 5A:72:63:8E:61:91: .
2024-11-27 14:44:24 - DEBUG - Received 4A:9E:BD:90:4A:5F: .
2024-11-27 14:44:24 - DEBUG - Received 4A:9E:BD:90:4A:5F: .
2024-11-27 14:44:24 - DEBUG - Received D1:AC:A6:02:60:FB: SOTL52.
2024-11-27 14:44:24 - DEBUG - Received D1:AC:A6:02:60:FB: .
2024-11-27 14:44:24 - DEBUG - Received 78:F5:22:4F:34:CA: .
2024-11-27 14:44:24 - DEBUG - Received 78:F5:22:4F:34:CA: .
2024-11-27 14:44:24 - DEBUG - Received 58:30:00:0F:46:49: .
2024-11-27 14:44:24 - DEBUG - Received 5E:FE:22:54:F0:A4: .
2024-11-27 14:44:24 - DEBUG - Received 5E:FE:22:54:F0:A4: NITHIN.
2024-11-27 14:44:24 - DEBUG - Received 5E:FE:22:54:F0:A4: .
2024-11-27 14:44:24 - DEBUG - Received 5E:FE:22:54:F0:A4: NITHIN.
2024-11-27 14:44:24 - DEBUG - Received 04:C6:BC:8D:80:B1: .
2024-11-27 14:44:24 - DEBUG - Received 23:4A:8E:28:A6:15: .
2024-11-27 14:44:25 - DEBUG - Received 48:13:CE:72:94:E8: .
2024-11-27 14:44:25 - DEBUG - Received D1:AC:A6:02:60:FB: SOTL52.
2024-11-27 14:44:25 - DEBUG - Received D1:AC:A6:02:60:FB: .
2024-11-27 14:44:25 - DEBUG - Received 79:5A:1A:44:71:52: .
2024-11-27 14:44:25 - DEBUG - Received 02:51:4E:65:A7:5E: .
2024-11-27 14:44:25 - DEBUG - Received 3A:E8:AB:C2:F5:48: .
2024-11-27 14:44:25 - DEBUG - Received 02:51:4E:65:A7:5E: .
2024-11-27 14:44:25 - DEBUG - Received 58:30:00:0F:46:49: realme Buds Wireless 3.
2024-11-27 14:44:25 - DEBUG - Received 58:30:00:0F:46:49: .
2024-11-27 14:44:25 - DEBUG - Received D1:AC:A6:02:60:FB: SOTL52.
2024-11-27 14:44:25 - DEBUG - Received D1:AC:A6:02:60:FB: .
2024-11-27 14:44:25 - DEBUG - Received 78:F5:22:4F:34:CA: .
2024-11-27 14:44:25 - DEBUG - Received 78:F5:22:4F:34:CA: .
2024-11-27 14:44:25 - DEBUG - Received D1:AC:A6:02:60:FB: SOTL52.
2024-11-27 14:44:25 - DEBUG - Received D1:AC:A6:02:60:FB: .
2024-11-27 14:44:25 - DEBUG - Received 5E:FE:22:54:F0:A4: .
2024-11-27 14:44:25 - DEBUG - Received 5E:FE:22:54:F0:A4: NITHIN.
2024-11-27 14:44:25 - DEBUG - Received 04:C6:BC:8D:80:B1: .
2024-11-27 14:44:25 - DEBUG - Received 04:C6:BC:8D:80:B1: .
2024-11-27 14:44:25 - DEBUG - Received 58:30:00:0F:46:49: .
2024-11-27 14:44:25 - DEBUG - Received 58:30:00:0F:46:49: .
2024-11-27 14:44:25 - DEBUG - Received 79:5A:1A:44:71:52: .
2024-11-27 14:44:26 - DEBUG - Received D4:25:11:25:10:7A: .
2024-11-27 14:44:26 - DEBUG - Received D4:25:11:25:10:7A: Vision 2_107A.
2024-11-27 14:44:26 - DEBUG - Received 48:13:CE:72:94:E8: .
2024-11-27 14:44:26 - DEBUG - Received D1:AC:A6:02:60:FB: SOTL52.
2024-11-27 14:44:26 - DEBUG - Received D1:AC:A6:02:60:FB: .
2024-11-27 14:44:26 - DEBUG - Received 02:51:4E:65:A7:5E: .
2024-11-27 14:44:26 - DEBUG - Received D1:AC:A6:02:60:FB: SOTL52.
2024-11-27 14:44:26 - DEBUG - Received D1:AC:A6:02:60:FB: .
2024-11-27 14:44:26 - DEBUG - Received 3F:89:85:C5:22:36: .
2024-11-27 14:44:26 - DEBUG - Received 78:F5:22:4F:34:CA: .
2024-11-27 14:44:26 - DEBUG - Received 78:F5:22:4F:34:CA: .
2024-11-27 14:44:26 - DEBUG - Received 69:05:B1:6C:48:97: .
2024-11-27 14:44:26 - DEBUG - Received 5A:72:63:8E:61:91: .
2024-11-27 14:44:26 - DEBUG - Received 5A:72:63:8E:61:91: .
2024-11-27 14:44:26 - DEBUG - Received 79:5A:1A:44:71:52: .
2024-11-27 14:44:26 - DEBUG - Received 79:5A:1A:44:71:52: .
2024-11-27 14:44:26 - DEBUG - Received D1:AC:A6:02:60:FB: SOTL52.
2024-11-27 14:44:26 - DEBUG - Received D1:AC:A6:02:60:FB: .
2024-11-27 14:44:26 - DEBUG - Received 04:C6:BC:8D:80:B1: .
2024-11-27 14:44:26 - DEBUG - Received 5E:FE:22:54:F0:A4: .
2024-11-27 14:44:26 - DEBUG - Received 5E:FE:22:54:F0:A4: NITHIN.
2024-11-27 14:44:26 - DEBUG - Received 23:4A:8E:28:A6:15: .
2024-11-27 14:44:26 - DEBUG - Received 48:13:CE:72:94:E8: .
2024-11-27 14:44:26 - DEBUG - Received B4:04:8C:65:26:86: .
2024-11-27 14:44:26 - DEBUG - Received D1:AC:A6:02:60:FB: SOTL52.
2024-11-27 14:44:27 - DEBUG - Received D1:AC:A6:02:60:FB: SOTL52.
2024-11-27 14:44:27 - DEBUG - Received D1:AC:A6:02:60:FB: .
2024-11-27 14:44:27 - DEBUG - Received 02:51:4E:65:A7:5E: .
2024-11-27 14:44:27 - DEBUG - Received D1:AC:A6:02:60:FB: SOTL52.
2024-11-27 14:44:27 - DEBUG - Received 69:05:B1:6C:48:97: .
2024-11-27 14:44:27 - DEBUG - Received 69:05:B1:6C:48:97: .
2024-11-27 14:44:27 - DEBUG - Received D4:25:11:25:10:7A: .
2024-11-27 14:44:27 - DEBUG - Received D4:25:11:25:10:7A: Vision 2_107A.
2024-11-27 14:44:27 - DEBUG - Received 79:5A:1A:44:71:52: .
2024-11-27 14:44:27 - DEBUG - Received 79:5A:1A:44:71:52: .
2024-11-27 14:44:27 - DEBUG - Received 5E:FE:22:54:F0:A4: .
2024-11-27 14:44:27 - DEBUG - Received 5E:FE:22:54:F0:A4: NITHIN.
2024-11-27 14:44:27 - DEBUG - Received 04:C6:BC:8D:80:B1: .
2024-11-27 14:44:27 - DEBUG - Received 04:C6:BC:8D:80:B1: .
2024-11-27 14:44:27 - DEBUG - Received B4:04:8C:65:26:86: .
2024-11-27 14:44:27 - DEBUG - Received 3A:E8:AB:C2:F5:48: .
2024-11-27 14:44:27 - DEBUG - Received D1:AC:A6:02:60:FB: SOTL52.
2024-11-27 14:44:27 - DEBUG - Received D1:AC:A6:02:60:FB: .
2024-11-27 14:44:27 - DEBUG - Received 23:4A:8E:28:A6:15: .
2024-11-27 14:44:27 - DEBUG - Received 48:13:CE:72:94:E8: .
2024-11-27 14:44:28 - DEBUG - Received D1:AC:A6:02:60:FB: SOTL52.
2024-11-27 14:44:28 - DEBUG - Received D1:AC:A6:02:60:FB: .
2024-11-27 14:44:28 - DEBUG - Received 02:51:4E:65:A7:5E: .
2024-11-27 14:44:28 - DEBUG - Received 58:30:00:0F:46:49: .
2024-11-27 14:44:28 - DEBUG - Received 02:51:4E:65:A7:5E: .
2024-11-27 14:44:28 - DEBUG - Received 78:F5:22:4F:34:CA: .
2024-11-27 14:44:28 - DEBUG - Received 78:F5:22:4F:34:CA: .
2024-11-27 14:44:28 - DEBUG - Received 3F:89:85:C5:22:36: .
2024-11-27 14:44:28 - DEBUG - Received 3F:89:85:C5:22:36: .
2024-11-27 14:44:28 - DEBUG - Received D1:AC:A6:02:60:FB: SOTL52.
2024-11-27 14:44:28 - DEBUG - Received D1:AC:A6:02:60:FB: .
2024-11-27 14:44:28 - DEBUG - Received 5E:FE:22:54:F0:A4: .
2024-11-27 14:44:28 - DEBUG - Received 5E:FE:22:54:F0:A4: NITHIN.
2024-11-27 14:44:28 - DEBUG - Received 4A:9E:BD:90:4A:5F: .
2024-11-27 14:44:28 - DEBUG - Received 4A:9E:BD:90:4A:5F: .
2024-11-27 14:44:28 - DEBUG - Received 5E:FE:22:54:F0:A4: .
2024-11-27 14:44:28 - DEBUG - Received 5E:FE:22:54:F0:A4: NITHIN.
2024-11-27 14:44:28 - DEBUG - Received 04:C6:BC:8D:80:B1: .
2024-11-27 14:44:28 - DEBUG - Received 48:13:CE:72:94:E8: .
2024-11-27 14:44:28 - DEBUG - Received 23:4A:8E:28:A6:15: .
2024-11-27 14:44:28 - DEBUG - Received D1:AC:A6:02:60:FB: SOTL52.
2024-11-27 14:44:28 - DEBUG - Received D1:AC:A6:02:60:FB: .
2024-11-27 14:44:28 - DEBUG - Received 11:37:B0:A9:A2:6D: .
2024-11-27 14:44:28 - DEBUG - Received 02:51:4E:65:A7:5E: .
2024-11-27 14:44:28 - DEBUG - Received D1:AC:A6:02:60:FB: SOTL52.
2024-11-27 14:44:28 - DEBUG - Received D1:AC:A6:02:60:FB: .
2024-11-27 14:44:29 - DEBUG - Received D4:25:11:25:10:7A: .
2024-11-27 14:44:29 - DEBUG - Received D4:25:11:25:10:7A: Vision 2_107A.
2024-11-27 14:44:29 - DEBUG - Received 3F:89:85:C5:22:36: .
2024-11-27 14:44:29 - DEBUG - Received 5A:72:63:8E:61:91: .
2024-11-27 14:44:29 - DEBUG - Received 5A:72:63:8E:61:91: .
2024-11-27 14:44:29 - DEBUG - Received 04:C6:BC:8D:80:B1: .
2024-11-27 14:44:29 - DEBUG - Received 5E:FE:22:54:F0:A4: .
2024-11-27 14:44:29 - DEBUG - Received F0:05:80:B3:E9:82: .
2024-11-27 14:44:29 - DEBUG - Received 3A:E8:AB:C2:F5:48: .
2024-11-27 14:44:29 - DEBUG - Received 69:05:B1:6C:48:97: .
2024-11-27 14:44:29 - DEBUG - Received B4:04:8C:65:26:86: .
2024-11-27 14:44:29 - DEBUG - Received 23:4A:8E:28:A6:15: .
2024-11-27 14:44:29 - DEBUG - Received 23:4A:8E:28:A6:15: .
2024-11-27 14:44:29 - DEBUG - Received 11:37:B0:A9:A2:6D: .
2024-11-27 14:44:29 - DEBUG - Received 02:51:4E:65:A7:5E: .
2024-11-27 14:44:29 - DEBUG - Received D1:AC:A6:02:60:FB: SOTL52.
2024-11-27 14:44:29 - DEBUG - Received D1:AC:A6:02:60:FB: .
2024-11-27 14:44:30 - DEBUG - Received 5A:72:63:8E:61:91: .
2024-11-27 14:44:30 - DEBUG - Received 02:51:4E:65:A7:5E: .
2024-11-27 14:44:30 - DEBUG - Received 04:C6:BC:8D:80:B1: .
2024-11-27 14:44:30 - DEBUG - Received 5E:FE:22:54:F0:A4: .
2024-11-27 14:44:30 - DEBUG - Received 5E:FE:22:54:F0:A4: NITHIN.
2024-11-27 14:44:30 - DEBUG - Received 4A:9E:BD:90:4A:5F: .
2024-11-27 14:44:30 - DEBUG - Received 3A:E8:AB:C2:F5:48: .
2024-11-27 14:44:30 - DEBUG - Received 3A:E8:AB:C2:F5:48: .
2024-11-27 14:44:30 - DEBUG - Received 48:13:CE:72:94:E8: .
2024-11-27 14:44:30 - DEBUG - Received 69:05:B1:6C:48:97: .
2024-11-27 14:44:30 - DEBUG - Received 23:4A:8E:28:A6:15: .
2024-11-27 14:44:30 - DEBUG - Received D1:AC:A6:02:60:FB: SOTL52.
2024-11-27 14:44:30 - DEBUG - Received D1:AC:A6:02:60:FB: .
2024-11-27 14:44:30 - DEBUG - Received B4:04:8C:65:26:86: .
2024-11-27 14:44:30 - DEBUG - Received B4:04:8C:65:26:86: .
2024-11-27 14:44:30 - DEBUG - Received 11:37:B0:A9:A2:6D: .
2024-11-27 14:44:30 - DEBUG - Received 02:51:4E:65:A7:5E: .
2024-11-27 14:44:30 - DEBUG - Received 02:51:4E:65:A7:5E: .
2024-11-27 14:44:30 - DEBUG - Received D1:AC:A6:02:60:FB: SOTL52.
2024-11-27 14:44:30 - DEBUG - Received D1:AC:A6:02:60:FB: .
2024-11-27 14:44:31 - DEBUG - Received 04:C6:BC:8D:80:B1: .
2024-11-27 14:44:31 - DEBUG - Received D1:AC:A6:02:60:FB: SOTL52.
2024-11-27 14:44:31 - DEBUG - Received D1:AC:A6:02:60:FB: .
2024-11-27 14:44:31 - DEBUG - Received D1:AC:A6:02:60:FB: SOTL52.
2024-11-27 14:44:31 - DEBUG - Received D1:AC:A6:02:60:FB: .
2024-11-27 14:44:31 - DEBUG - Received B4:04:8C:65:26:86: .
2024-11-27 14:44:31 - DEBUG - Received B4:04:8C:65:26:86: .
2024-11-27 14:44:31 - DEBUG - Received 3A:E8:AB:C2:F5:48: .
2024-11-27 14:44:31 - DEBUG - Received 23:4A:8E:28:A6:15: .
2024-11-27 14:44:31 - DEBUG - Received 5E:FE:22:54:F0:A4: .
2024-11-27 14:44:31 - DEBUG - Received 5E:FE:22:54:F0:A4: NITHIN.
2024-11-27 14:44:31 - DEBUG - Received 69:05:B1:6C:48:97: .
2024-11-27 14:44:31 - DEBUG - Received 11:37:B0:A9:A2:6D: .
2024-11-27 14:44:31 - DEBUG - Received 78:F5:22:4F:34:CA: .
2024-11-27 14:44:31 - DEBUG - Received 78:F5:22:4F:34:CA: .
2024-11-27 14:44:31 - DEBUG - Received 02:51:4E:65:A7:5E: .
2024-11-27 14:44:31 - DEBUG - Received B4:04:8C:65:26:86: .
2024-11-27 14:44:31 - DEBUG - Received B4:04:8C:65:26:86: .
2024-11-27 14:44:31 - DEBUG - Received D1:AC:A6:02:60:FB: SOTL52.
2024-11-27 14:44:31 - DEBUG - Received 5A:72:63:8E:61:91: .
2024-11-27 14:44:31 - DEBUG - Received 5A:72:63:8E:61:91: .
2024-11-27 14:44:32 - DEBUG - Received 48:13:CE:72:94:E8: .
2024-11-27 14:44:32 - DEBUG - Received 23:4A:8E:28:A6:15: .
2024-11-27 14:44:32 - DEBUG - Received 79:5A:1A:44:71:52: .
2024-11-27 14:44:32 - DEBUG - Received 23:4A:8E:28:A6:15: .
2024-11-27 14:44:32 - DEBUG - Received 5E:FE:22:54:F0:A4: .
2024-11-27 14:44:32 - DEBUG - Received 5E:FE:22:54:F0:A4: NITHIN.
2024-11-27 14:44:32 - DEBUG - Received 69:05:B1:6C:48:97: .
2024-11-27 14:44:32 - DEBUG - Received 78:F5:22:4F:34:CA: .
2024-11-27 14:44:32 - DEBUG - Received 78:F5:22:4F:34:CA: .
2024-11-27 14:44:32 - DEBUG - Received 58:30:00:0F:46:49: .
2024-11-27 14:44:32 - DEBUG - Received 5A:72:63:8E:61:91: .
2024-11-27 14:44:32 - DEBUG - Received 5A:72:63:8E:61:91: .
2024-11-27 14:44:32 - DEBUG - Received 04:C6:BC:8D:80:B1: .
2024-11-27 14:44:32 - DEBUG - Received D1:AC:A6:02:60:FB: SOTL52.
2024-11-27 14:44:32 - DEBUG - Received D1:AC:A6:02:60:FB: .
2024-11-27 14:44:32 - DEBUG - Received 3F:89:85:C5:22:36: .
2024-11-27 14:44:32 - DEBUG - Received 3F:89:85:C5:22:36: .
2024-11-27 14:44:33 - DEBUG - Received D1:AC:A6:02:60:FB: SOTL52.
2024-11-27 14:44:33 - DEBUG - Received D1:AC:A6:02:60:FB: .
2024-11-27 14:44:33 - DEBUG - Received 5E:FE:22:54:F0:A4: .
2024-11-27 14:44:33 - DEBUG - Received 5E:FE:22:54:F0:A4: NITHIN.
2024-11-27 14:44:33 - DEBUG - Received 23:4A:8E:28:A6:15: .
2024-11-27 14:44:33 - DEBUG - Received 69:05:B1:6C:48:97: .
2024-11-27 14:44:33 - DEBUG - Received 78:F5:22:4F:34:CA: .
2024-11-27 14:44:33 - DEBUG - Received 78:F5:22:4F:34:CA: .
2024-11-27 14:44:33 - DEBUG - Received 11:37:B0:A9:A2:6D: .
2024-11-27 14:44:33 - DEBUG - Received D1:AC:A6:02:60:FB: SOTL52.
2024-11-27 14:44:33 - DEBUG - Received D1:AC:A6:02:60:FB: .
2024-11-27 14:44:33 - DEBUG - Received B4:04:8C:65:26:86: .
2024-11-27 14:44:33 - DEBUG - Received 58:30:00:0F:46:49: realme Buds Wireless 3.
2024-11-27 14:44:33 - DEBUG - Received 58:30:00:0F:46:49: .
2024-11-27 14:44:33 - DEBUG - Received 04:C6:BC:8D:80:B1: .
2024-11-27 14:44:34 - DEBUG - Received 3A:E8:AB:C2:F5:48: .
2024-11-27 14:44:34 - DEBUG - Received 5E:FE:22:54:F0:A4: .
2024-11-27 14:44:34 - DEBUG - Received 5E:FE:22:54:F0:A4: NITHIN.
2024-11-27 14:44:34 - DEBUG - Received D1:AC:A6:02:60:FB: SOTL52.
2024-11-27 14:44:34 - DEBUG - Received D1:AC:A6:02:60:FB: .
2024-11-27 14:44:34 - DEBUG - Received 02:51:4E:65:A7:5E: .
2024-11-27 14:44:34 - DEBUG - Received 23:4A:8E:28:A6:15: .
2024-11-27 14:44:34 - DEBUG - Received B4:04:8C:65:26:86: .
2024-11-27 14:44:34 - DEBUG - Received 11:37:B0:A9:A2:6D: .
2024-11-27 14:44:34 - DEBUG - Received D1:AC:A6:02:60:FB: SOTL52.
2024-11-27 14:44:34 - DEBUG - Received D1:AC:A6:02:60:FB: .
2024-11-27 14:44:34 - DEBUG - Received 04:C6:BC:8D:80:B1: .
2024-11-27 14:44:34 - DEBUG - Received 5A:72:63:8E:61:91: .
2024-11-27 14:44:34 - DEBUG - Received 5A:72:63:8E:61:91: .
2024-11-27 14:44:34 - DEBUG - Received 3F:89:85:C5:22:36: .
2024-11-27 14:44:34 - DEBUG - Received D1:AC:A6:02:60:FB: SOTL52.
2024-11-27 14:44:34 - DEBUG - Received D1:AC:A6:02:60:FB: .
2024-11-27 14:44:34 - DEBUG - Received 69:05:B1:6C:48:97: .
2024-11-27 14:44:35 - DEBUG - Received 23:4A:8E:28:A6:15: .
2024-11-27 14:44:35 - DEBUG - Received D1:AC:A6:02:60:FB: SOTL52.
2024-11-27 14:44:35 - DEBUG - Received D1:AC:A6:02:60:FB: .
2024-11-27 14:44:35 - DEBUG - Received 02:51:4E:65:A7:5E: .
2024-11-27 14:44:35 - DEBUG - Received 48:13:CE:72:94:E8: .
2024-11-27 14:44:35 - DEBUG - Received 5A:72:63:8E:61:91: .
2024-11-27 14:44:35 - DEBUG - Received 5A:72:63:8E:61:91: .
2024-11-27 14:44:35 - DEBUG - Received 11:37:B0:A9:A2:6D: .
2024-11-27 14:44:35 - DEBUG - Received D1:AC:A6:02:60:FB: SOTL52.
2024-11-27 14:44:35 - DEBUG - Received D1:AC:A6:02:60:FB: .
2024-11-27 14:44:35 - DEBUG - Received 79:5A:1A:44:71:52: .
2024-11-27 14:44:35 - DEBUG - Received 79:5A:1A:44:71:52: .
2024-11-27 14:44:35 - DEBUG - Received 04:C6:BC:8D:80:B1: .
2024-11-27 14:44:35 - DEBUG - Received 0E:C8:F9:F0:F4:6E: .
2024-11-27 14:44:35 - DEBUG - Received D1:AC:A6:02:60:FB: SOTL52.
